prime,area_2000_ha,area_2010_ha,area_2016_ha,area_2023_ha
Cabernet Jura,,19.19,27.34760001,39.3151
Cabernet Malbec,34.12,,,
Cabernet Mitos,,322,311.9119,312.3323497
Cabernet Moravia,,212,,173.8719
Cabernet Sauvignon,223386.4335,290083.8132,312209.8544,279478.5465
Cabernet Soyhières,,,0.9175000191,3.4411
Cabernet Volos,,,,1.426250004
Cabernet x Maréchal Foch,,,0.110100003,0.110100003
Cabertin,,,1.593499983,3.810242512
Cabinda,,362.38,354.9391565,354.9391565
Cabral,,1.88,1.902238858,1.902238858
Caco,,,,0.2
Caddiu,977.5,308.88,83.46825194,
Caladoc,1427.33,3674.6265,5257.807394,6065.58154
Calagrano,8229.4,4794,,
Calandra,,,,0.164998832
Calardis Blanc,,,,0.3099992237
Calardis Musque,,,,0.04399999976
Calitor Noir,84.89,26.3127,25.65384568,25.65384568
Callet,150.6,154,138.289626,224
Calmeria,,,0.3024,0.5824
Caloria,128.58,108.02,45.3520588,
Calrao,,1.04,0.900167677,0.900167677
Camaralet de Lasseube,690.81,519.8802,305.9243796,305.9243796
Campanario,,1.92,1.880576137,1.880576137
Campbell Early,42.5315008,60.9,237.6584416,63.9
Canada Muscat,48.6,,,326.7033548
Canadice,,0.2428116,0.4334591362,43.8897087
Canaiolo Nero,2417.72,1068.37,1031.130947,799
Canari Noir,218.1767,162.8523,83.5,48.846
Canela,0.1866,1.3083,2.8,1.1725
Canelon,8,8,,
Canner Seedless,,0.0563,0.05451042726,0.05451042726
Canorroyo,157.48,,,
Capolongo,,5.07,0.4917363977,
Captivator,,,,0.2
Caracol,13.74,32.97,32.92706527,32.92706527
Caramela,,0.49,0.4170915584,0.4170915584
Carbernet Volos,,,0.09189999849,0.09189999849
Cardinal,3869.915356,535.8653,1660.241011,1974.589218
Carica l'Asino,298.97,17.42,5.4649242,
Carignan Bouschet,15.52,1.456,1.409719043,15.40971904
Carla,,0.1083,0.1048575359,0.1048575359
Carmem,,,327.8623004,500.243457
Carmenère,5711.218783,11365.8844,22469.9039,14824.12313
Carmine,9.712464,,,
Carminoir,,10.16,11.2497001,11.5289
Carnelian,624.8352,316.464444,123.42923,
Carrasquín,,,,19
Carrega Branco,,507.03,511.7580639,511.7580639
Carrega Tinto,,17.1,17.44003941,17.44003941
Carricante,252.06,204.59,34.83568583,
Cartouche,31.18,,,
Casavecchia,,135.79,92.24831185,7.02
Cascade,,,21.91666667,0.2936999938
Casculho,,267.16,269.1931127,269.1931127
Casetta,,12.49,13.56550599,
Castalia,,0.19,0.08902405964,0.08902405964
Castel,0.12,2.153846,2.94611408,2.683147574
Castela,,7.98,6.773230912,6.773230912
Castelino,,147.38,144.3538078,144.3538078
Castellana Blanca,,,1.118945,1.118945
Castelo Branco,,4.54,2.127206478,2.127206478
Castelão,14423.61,11087.91611,12580.0414,8989.8104
Castelão Branco,,37.34,18.01865899,18.01865899
Castets,0.05,0.032,0.01094658704,0.01094658704
Castiglione,83.3,18.31,4.371620379,
Castonotal,0.35,,,
Catalanesca,,53.72,6.853640343,
Catanese Nero,75.85,14.73,6.865452147,
Catarratto Bianco,50710.7,34862.63193,28613.19902,31125
Catawba,635.35708,633.49545,625.7970748,166.6925
Cavrara,,23.1,1.440171847,
Cayetana Blanca,55775.53,39781.2,36455.74488,33650.38215
Cayuga White,107.64648,211.8126552,217.3335811,119.1318681
Caíño Blanco,69.32,128.36,77.34272089,125.2408209
Caíño Longo,,,,8
Cellerina,,1.6,1.600343718,
Centennial Seedless,2.48,,1.225,1.225
Centesimino,,23.82,25.01876037,
Centurian,134.35576,33.993622,33.184252,
Cep Rouge,0.1,,,
Cerceal Branco,597.29,379.12,260.7673488,260.7673488
Cereza,31113.353,29934.1788,28886.6,24834.0451
Cesanese,1024.28,679.37,445.8705833,0.1
Cesar,8.28,10.3871,14.56112782,21.17112782
Cetinka,,34.62,,31.32
Chambourcin,257.468014,1095.588912,926.3378582,246.343591
Champanel,,,1.3354638,4.16841
Chancellor,26.709272,49.494325,37.53087668,35.93352002
Chaouch Blanc,1.745956519,2.5,,0.02
Chaouch Rozovyi,,,,34.48
Chardonel,,143.987288,90.37400422,9.1034
Chardonnay,145468.6357,199726.7579,202881.8061,222926.5132
Chardonnay Rose,,,,0.90249942
Chardoris,,,0.1849000007,0.1849000007
Charentsi,,,,36.98
Charmont,6.83,9.51,9.886399938,10.4607
Chasan,913.5,749.2136,549.4998621,39.9309
Chasselas,13318.032,13117.29657,7377.247485,6185.07741
Chasselas (R),11.11,95.1193,89.90466677,93.95765467
Chasselas Sabor,,0.05,0.03445698377,0.03445698377
Chatus,15.12,78.6894,70.87049297,61.86986454
Chelois,,1.4799778,1.521911427,1.772501421
Chelva,10876.97,6168,5029.354685,4361
Chenanson,635.83,465.7919,451.0414368,451.0414368
Chenel,,,32.96,
Chenin Blanc,45606.87933,35660.6888,32260.70768,30859.27358
Chenivesse,1.48,,,
Chilar,,,,46.997
Chinuri,955,1225.074,1225.074,203
Chkhaveri,20,25.656,25.656,84
Cianorie,,2.45,1.324628121,
Cidreiro,,0.16,0.1567146781,0.1567146781
Ciliegiolo,2526.92,1829.95,896.5052908,1465.59
Cinsaut,48428.21446,34750.75349,22915.95318,27189.2048
Cinsaut (G),,,1.5,
Cinsaut (W),,,0.2,
Cinsaut Seedless,9.02,13,,
Citronny Magarach,,307,307,
Citronny Magaracha,,,,1084.699023
Cividin,,4.13,4.232942384,
Clairette,3421.13,2766.348983,2419.806496,2078.031892
Clara,,,0.04313142366,0.06469713897
Clarin,10.94,5.9827,5.792756042,5.792756042
Claverie,3.45,0.7681,0.6538418492,0.6538418492
Clinton,,,0.2585999928,2.098599993
Coarnă Neagră,,,113.6091324,9.609132767
Cococciola,886.87,982.74,1670.747755,1467
Coda di Volpe Bianca,979.69,586.47,76.75748118,
Codană,,,26,24.6765
Codega de Larinho,4057.85,628.84,455,455
Codivarta,2.58,2.1859,1.342778296,1.342778296
Colmar Precoce Noir,,,0.2428116,0.2428116053
Colobel,2.84,9.3013116,7.886175618,12.08652518
Colombana Nera,126.39,38.1,16.48264931,
Colombard,38403.10361,32944.47264,29965.14854,30083.07932
Colomino,,,2.1,
Coloraillo,614.17,374,108.9334,70
Columna,,,25.58573556,
Completer,2.04,2.98,4.852099953,10.714
Complexa,6.4,102.8,102.8,102.8
Concieira,,52.31,53.11106833,53.11106833
Concord,11816.4262,12237.99963,10543.63235,7808.340534
Concord Clone 30,,,195.8446436,293.7669678
Cora,,,570.1921123,855.288147
Coracao de Galo,,0.88,0.7767806805,0.7767806805
Corbina Vicentina,,12.26,12.25285238,
Cordenossa,,5.16,1.736188881,
Cornalin,93.14,255.78,146.7492745,142.2886
Cornarea,21.66,13.25,8.094011281,
Cornichon Blanc,3.87,,0.5094,4.2524
Cornifesto,259.06,498.54,508.9797336,507.9997336
Corot Noir,,26.58787,11.14240002,45.5264
Cortese,3113.45,2952.6,2404.984576,3363
Corvina Veronese,4800.01,7495.8,6239.945099,7362.035408
Corvinone,88.36,929.96,1140.462148,0.3528
Couderc 13,,,474.0925356,711.1387939
Couderc Noir,613.9177,3517.130017,2136.325775,3105.241461
Counoise,637.92,407.9008,417.560407,396.112049
